"month_name","Influenza","Pollen_Allergies","SAD","Cold_Weather","Heatwave"
"10月",52.7857142857143,30.5714285714286,37.4642857142857,37.6071428571429,26.7142857142857
"11月",56,23.7916666666667,37.6666666666667,43.375,24.8333333333333
"12月",72.5333333333333,23.1333333333333,34.4666666666667,46.4666666666667,24.8666666666667
"1月",39.7857142857143,24.1785714285714,39.5,49.75,25.4285714285714
"2月",30.5833333333333,32.4166666666667,44.125,45.4166666666667,28.25
"3月",25.7692307692308,52.4230769230769,42.8846153846154,41.6538461538462,27.1538461538462
"4月",23,66.7307692307692,43.4230769230769,38.8846153846154,27.7692307692308
"5月",19.1538461538462,62.8076923076923,38.2692307692308,35,28.4615384615385
"6月",14.8461538461538,41.8461538461538,31.5,35.1153846153846,32.1538461538462
"7月",13.3571428571429,30.3214285714286,30.75,33.5357142857143,33.1428571428571
"8月",17.75,32.25,30.7083333333333,32.9583333333333,29.4166666666667
"9月",35.5384615384615,36.1153846153846,35.7307692307692,32.7692307692308,30.0769230769231
